CHI Instruments
Scan Rate, 0.01 V/s
Rotation Rate, 1600 rpm
Electrolyte, 0.1 M KOH
Electrode, GC RDE (5 mm dia)
Temperature, 25 C
Number of Points, 500

Potential/V,Current/A,Time/sec
0.546092,-4.430682e-06,45.391
0.543086,-4.744117e-06,45.691
0.540080,-4.472775e-06,45.992
0.537074,-4.373586e-06,46.293
0.534068,-4.472931e-06,46.593
0.531062,-4.619944e-06,46.894
0.528056,-4.528310e-06,47.194
0.525050,-4.522237e-06,47.495
0.522044,-4.411193e-06,47.796
0.519038,-4.492808e-06,48.096
0.516032,-4.508398e-06,48.397
0.513026,-4.471477e-06,48.697
0.510020,-4.696795e-06,48.998
0.507014,-4.577363e-06,49.299
0.504008,-4.460804e-06,49.599
0.501002,-4.489204e-06,49.900
0.497996,-4.380052e-06,50.200
0.494990,-4.429253e-06,50.501
0.491984,-4.499825e-06,50.802
0.488978,-4.478613e-06,51.102
0.485972,-4.478685e-06,51.403
0.482966,-4.553193e-06,51.703
0.479960,-4.597586e-06,52.004
0.476954,-4.537279e-06,52.305
0.473948,-4.419298e-06,52.605
0.470942,-4.443459e-06,52.906
0.467936,-4.589148e-06,53.206
0.464930,-4.621019e-06,53.507
0.461924,-4.499324e-06,53.808
0.458918,-4.408906e-06,54.108
0.455912,-4.332880e-06,54.409
0.452906,-4.723208e-06,54.709
0.449900,-4.557485e-06,55.010
0.446894,-4.429533e-06,55.311
0.443888,-4.402906e-06,55.611
0.440882,-4.395192e-06,55.912
0.437876,-4.569026e-06,56.212
0.434870,-4.323299e-06,56.513
0.431864,-4.496395e-06,56.814
0.428858,-4.618199e-06,57.114
0.425852,-4.605059e-06,57.415
0.422846,-4.385307e-06,57.715
0.419840,-4.483755e-06,58.016
0.416834,-4.366438e-06,58.317
0.413828,-4.556662e-06,58.617
0.410822,-4.526103e-06,58.918
0.407816,-4.552123e-06,59.218
0.404810,-4.356775e-06,59.519
0.401804,-4.654880e-06,59.820
0.398798,-4.315230e-06,60.120
0.395792,-4.430183e-06,60.421
0.392786,-4.593535e-06,60.721
0.389780,-4.563052e-06,61.022
0.386774,-4.615267e-06,61.323
0.383768,-4.554618e-06,61.623
0.380762,-4.734528e-06,61.924
0.377756,-4.581545e-06,62.224
0.374749,-4.609774e-06,62.525
0.371743,-4.434665e-06,62.826
0.368737,-4.346990e-06,63.126
0.365731,-4.538900e-06,63.427
0.362725,-4.403942e-06,63.727
0.359719,-4.547187e-06,64.028
0.356713,-4.454192e-06,64.329
0.353707,-4.317831e-06,64.629
0.350701,-4.371826e-06,64.930
0.347695,-4.634375e-06,65.230
0.344689,-4.555411e-06,65.531
0.341683,-4.633103e-06,65.832
0.338677,-4.626542e-06,66.132
0.335671,-4.344879e-06,66.433
0.332665,-4.474329e-06,66.733
0.329659,-4.682493e-06,67.034
0.326653,-4.511237e-06,67.335
0.323647,-4.492525e-06,67.635
0.320641,-4.835536e-06,67.936
0.317635,-4.620333e-06,68.236
0.314629,-4.463600e-06,68.537
0.311623,-4.473535e-06,68.838
0.308617,-4.476569e-06,69.138
0.305611,-4.373475e-06,69.439
0.302605,-4.469698e-06,69.739
0.299599,-4.469680e-06,70.040
0.296593,-4.559616e-06,70.341
0.293587,-4.570463e-06,70.641
0.290581,-4.405576e-06,70.942
0.287575,-4.648026e-06,71.242
0.284569,-4.603702e-06,71.543
0.281563,-4.501029e-06,71.844
0.278557,-4.513887e-06,72.144
0.275551,-4.568549e-06,72.445
0.272545,-4.373278e-06,72.745
0.269539,-4.489723e-06,73.046
0.266533,-4.425286e-06,73.347
0.263527,-4.607172e-06,73.647
0.260521,-4.520435e-06,73.948
0.257515,-4.417238e-06,74.248
0.254509,-4.475138e-06,74.549
0.251503,-4.617729e-06,74.850
0.248497,-4.656407e-06,75.150
0.245491,-4.610389e-06,75.451
0.242485,-4.601546e-06,75.752
0.239479,-4.464298e-06,76.052
0.236473,-4.608369e-06,76.353
0.233467,-4.295395e-06,76.653
0.230461,-4.551839e-06,76.954
0.227455,-4.418748e-06,77.255
0.224449,-4.391262e-06,77.555
0.221443,-4.508718e-06,77.856
0.218437,-4.492502e-06,78.156
0.215431,-4.597881e-06,78.457
0.212425,-4.452274e-06,78.758
0.209419,-4.581246e-06,79.058
0.206413,-4.659064e-06,79.359
0.203407,-4.453477e-06,79.659
0.200401,-4.417683e-06,79.960
0.197395,-4.416559e-06,80.261
0.194389,-4.332328e-06,80.561
0.191383,-4.420303e-06,80.862
0.188377,-4.393282e-06,81.162
0.185371,-4.550868e-06,81.463
0.182365,-4.465957e-06,81.764
0.179359,-4.416992e-06,82.064
0.176353,-4.465818e-06,82.365
0.173347,-4.425257e-06,82.665
0.170341,-4.297698e-06,82.966
0.167335,-4.606175e-06,83.267
0.164329,-4.658931e-06,83.567
0.161323,-4.570842e-06,83.868
0.158317,-4.448360e-06,84.168
0.155311,-4.579283e-06,84.469
0.152305,-4.522227e-06,84.770
0.149299,-4.484354e-06,85.070
0.146293,-4.612223e-06,85.371
0.143287,-4.548673e-06,85.671
0.140281,-4.741164e-06,85.972
0.137275,-4.533144e-06,86.273
0.134269,-4.493920e-06,86.573
0.131263,-4.376601e-06,86.874
0.128257,-4.361974e-06,87.174
0.125251,-4.550100e-06,87.475
0.122244,-4.499969e-06,87.776
0.119238,-4.704731e-06,88.076
0.116232,-4.417848e-06,88.377
0.113226,-4.445231e-06,88.677
0.110220,-4.545342e-06,88.978
0.107214,-4.349042e-06,89.279
0.104208,-4.491498e-06,89.579
0.101202,-4.561172e-06,89.880
0.098196,-4.098301e-06,90.180
0.095190,-4.539080e-06,90.481
0.092184,-4.536738e-06,90.782
0.089178,-4.542885e-06,91.082
0.086172,-4.404735e-06,91.383
0.083166,-4.311311e-06,91.683
0.080160,-4.571832e-06,91.984
0.077154,-4.468430e-06,92.285
0.074148,-4.491505e-06,92.585
0.071142,-4.565074e-06,92.886
0.068136,-4.558580e-06,93.186
0.065130,-4.419179e-06,93.487
0.062124,-4.469823e-06,93.788
0.059118,-4.477227e-06,94.088
0.056112,-4.512557e-06,94.389
0.053106,-4.576289e-06,94.689
0.050100,-4.603479e-06,94.990
0.047094,-4.441793e-06,95.291
0.044088,-4.437480e-06,95.591
0.041082,-4.524978e-06,95.892
0.038076,-4.551091e-06,96.192
0.035070,-4.533489e-06,96.493
0.032064,-4.591126e-06,96.794
0.029058,-4.388459e-06,97.094
0.026052,-4.547246e-06,97.395
0.023046,-4.441169e-06,97.695
0.020040,-4.541475e-06,97.996
0.017034,-4.676612e-06,98.297
0.014028,-4.453491e-06,98.597
0.011022,-4.396918e-06,98.898
0.008016,-4.396986e-06,99.198
0.005010,-4.577920e-06,99.499
0.002004,-4.330353e-06,99.800
-0.001002,-4.497893e-06,100.100
-0.004008,-4.500725e-06,100.401
-0.007014,-4.470334e-06,100.701
-0.010020,-4.558823e-06,101.002
-0.013026,-4.525691e-06,101.303
-0.016032,-4.538190e-06,101.603
-0.019038,-4.516863e-06,101.904
-0.022044,-4.494801e-06,102.204
-0.025050,-4.584949e-06,102.505
-0.028056,-4.629256e-06,102.806
-0.031062,-4.432800e-06,103.106
-0.034068,-4.527940e-06,103.407
-0.037074,-4.428927e-06,103.707
-0.040080,-4.473050e-06,104.008
-0.043086,-4.572999e-06,104.309
-0.046092,-4.278067e-06,104.609
-0.049098,-4.385941e-06,104.910
-0.052104,-4.514712e-06,105.210
-0.055110,-4.586420e-06,105.511
-0.058116,-4.597273e-06,105.812
-0.061122,-4.640704e-06,106.112
-0.064128,-4.424322e-06,106.413
-0.067134,-4.515097e-06,106.713
-0.070140,-4.399923e-06,107.014
-0.073146,-4.633364e-06,107.315
-0.076152,-4.651563e-06,107.615
-0.079158,-4.652796e-06,107.916
-0.082164,-4.502035e-06,108.216
-0.085170,-4.408273e-06,108.517
-0.088176,-4.235908e-06,108.818
-0.091182,-4.388411e-06,109.118
-0.094188,-4.419636e-06,109.419
-0.097194,-4.429957e-06,109.719
-0.100200,-4.388882e-06,110.020
-0.103206,-4.660810e-06,110.321
-0.106212,-4.458902e-06,110.621
-0.109218,-4.283841e-06,110.922
-0.112224,-4.404053e-06,111.222
-0.115230,-4.624248e-06,111.523
-0.118236,-4.640025e-06,111.824
-0.121242,-4.596471e-06,112.124
-0.124248,-4.385932e-06,112.425
-0.127255,-4.664221e-06,112.725
-0.130261,-4.582461e-06,113.026
-0.133267,-4.517488e-06,113.327
-0.136273,-4.496294e-06,113.627
-0.139279,-4.341835e-06,113.928
-0.142285,-4.643540e-06,114.228
-0.145291,-4.506221e-06,114.529
-0.148297,-4.572408e-06,114.830
-0.151303,-4.528907e-06,115.130
-0.154309,-4.472056e-06,115.431
-0.157315,-4.493756e-06,115.731
-0.160321,-4.559715e-06,116.032
-0.163327,-4.452736e-06,116.333
-0.166333,-4.575219e-06,116.633
-0.169339,-4.675253e-06,116.934
-0.172345,-4.465858e-06,117.234
-0.175351,-4.610832e-06,117.535
-0.178357,-4.440462e-06,117.836
-0.181363,-4.359113e-06,118.136
-0.184369,-4.691540e-06,118.437
-0.187375,-4.638395e-06,118.737
-0.190381,-4.661510e-06,119.038
-0.193387,-4.444913e-06,119.339
-0.196393,-4.645191e-06,119.639
-0.199399,-4.305394e-06,119.940
-0.202405,-4.530033e-06,120.240
-0.205411,-4.502711e-06,120.541
-0.208417,-4.464861e-06,120.842
-0.211423,-4.413147e-06,121.142
-0.214429,-4.502205e-06,121.443
-0.217435,-4.553315e-06,121.743
-0.220441,-4.637149e-06,122.044
-0.223447,-4.528077e-06,122.345
-0.226453,-4.495968e-06,122.645
-0.229459,-4.592941e-06,122.946
-0.232465,-4.486253e-06,123.246
-0.235471,-4.412720e-06,123.547
-0.238477,-4.496026e-06,123.848
-0.241483,-4.594955e-06,124.148
-0.244489,-4.557575e-06,124.449
-0.247495,-4.347654e-06,124.749
-0.250501,-4.450169e-06,125.050
-0.253507,-4.541708e-06,125.351
-0.256513,-4.472532e-06,125.651
-0.259519,-4.387854e-06,125.952
-0.262525,-4.397281e-06,126.253
-0.265531,-4.280312e-06,126.553
-0.268537,-4.458173e-06,126.854
-0.271543,-4.450164e-06,127.154
-0.274549,-4.562409e-06,127.455
-0.277555,-4.448994e-06,127.756
-0.280561,-4.575110e-06,128.056
-0.283567,-4.462717e-06,128.357
-0.286573,-4.598797e-06,128.657
-0.289579,-4.645751e-06,128.958
-0.292585,-4.660946e-06,129.259
-0.295591,-4.442302e-06,129.559
-0.298597,-4.472976e-06,129.860
-0.301603,-4.363810e-06,130.160
-0.304609,-4.480821e-06,130.461
-0.307615,-4.585105e-06,130.762
-0.310621,-4.467849e-06,131.062
-0.313627,-4.500559e-06,131.363
-0.316633,-4.539937e-06,131.663
-0.319639,-4.333223e-06,131.964
-0.322645,-4.337338e-06,132.265
-0.325651,-4.455518e-06,132.565
-0.328657,-4.338881e-06,132.866
-0.331663,-4.380550e-06,133.166
-0.334669,-4.562327e-06,133.467
-0.337675,-4.532043e-06,133.768
-0.340681,-4.477222e-06,134.068
-0.343687,-4.285607e-06,134.369
-0.346693,-4.496725e-06,134.669
-0.349699,-4.649880e-06,134.970
-0.352705,-4.463470e-06,135.271
-0.355711,-4.330869e-06,135.571
-0.358717,-4.418475e-06,135.872
-0.361723,-4.556290e-06,136.172
-0.364729,-4.532783e-06,136.473
-0.367735,-4.572533e-06,136.774
-0.370741,-4.453447e-06,137.074
-0.373747,-4.268959e-06,137.375
-0.376754,-4.357317e-06,137.675
-0.379760,-4.503684e-06,137.976
-0.382766,-4.690523e-06,138.277
-0.385772,-4.438725e-06,138.577
-0.388778,-4.452872e-06,138.878
-0.391784,-4.468727e-06,139.178
-0.394790,-4.477043e-06,139.479
-0.397796,-4.508198e-06,139.780
-0.400802,-4.504129e-06,140.080
-0.403808,-4.520783e-06,140.381
-0.406814,-4.548618e-06,140.681
-0.409820,-4.428299e-06,140.982
-0.412826,-4.442524e-06,141.283
-0.415832,-4.372283e-06,141.583
-0.418838,-4.522129e-06,141.884
-0.421844,-4.585983e-06,142.184
-0.424850,-4.328908e-06,142.485
-0.427856,-4.496632e-06,142.786
-0.430862,-4.436286e-06,143.086
-0.433868,-4.525097e-06,143.387
-0.436874,-4.733001e-06,143.687
-0.439880,-4.411229e-06,143.988
-0.442886,-4.636965e-06,144.289
-0.445892,-4.503972e-06,144.589
-0.448898,-4.465611e-06,144.890
-0.451904,-4.484759e-06,145.190
-0.454910,-4.500943e-06,145.491
-0.457916,-4.480562e-06,145.792
-0.460922,-4.357991e-06,146.092
-0.463928,-4.857275e-06,146.393
-0.466934,-4.515155e-06,146.693
-0.469940,-4.583261e-06,146.994
-0.472946,-4.525369e-06,147.295
-0.475952,-4.298512e-06,147.595
-0.478958,-4.500559e-06,147.896
-0.481964,-4.503892e-06,148.196
-0.484970,-4.546248e-06,148.497
-0.487976,-4.479820e-06,148.798
-0.490982,-4.357447e-06,149.098
-0.493988,-4.523423e-06,149.399
-0.496994,-4.340167e-06,149.699
-0.500000,-4.317470e-06,150.000
